Ano,Distrito,Num_IncendiosRurais,AreaArdPov_NoDistrito,AreaArdMato_NoDistrito,AreaArdAgric_NoDistrito,AreaArdTotal_NoDistrito,AreaArdPov_IncendioInicioDist,AreaArdMato_IncendioInicioDist,AreaArdAgric_IncendioInicioDist,AreaArdTotal_IncendioInicioDist,NIncRur_0_1ha,NIncRur_1_10ha,NIncRur_10_20ha,NIncRur_20_50ha,NIncRur_50_100ha,NIncRur_100_500ha,NIncRur_500_1000ha,NIncRur_1000_n_ha,NInc_Natural,NInc_Negligente,NInc_Intencionais,NInc_Reacendimentos,NInc_Desconhecida,NInc_NaoInvestigados,Ninc_Sup24h
2012,LISBOA,1946,,,,,601,1104,186,1891,1639,288,5,9,2,3,0,0,0,212,10,17,1193,514,1
2012,PORTALEGRE,313,,,,,1157,19,111,1287,274,33,0,4,1,0,1,0,0,132,23,2,127,29,0
2012,PORTO,5125,,,,,1879,1785,30,3693,4658,408,25,25,4,5,0,0,0,1046,435,441,327,2876,1
2012,SANTARÉM,1138,,,,,4903,2901,2963,10767,999,123,5,3,2,3,0,3,0,336,313,6,343,140,3
2012,SETÚBAL,981,,,,,204,154,63,420,930,44,3,3,0,1,0,0,0,166,27,7,313,468,0
2012,VIANA DO CASTELO,1331,,,,,796,1929,17,2743,983,291,28,21,7,1,0,0,1,431,483,146,84,186,1
2012,VILA REAL,1827,,,,,2742,4234,170,7146,1129,612,25,35,13,11,2,0,11,627,451,194,67,477,0
2012,VISEU,2172,,,,,5585,8806,18,14409,1669,416,26,25,13,19,1,3,19,776,587,341,447,2,11
2013,AVEIRO,1615,,,,,3856,760,14,4630,1458,123,11,14,2,6,1,0,4,213,158,312,872,56,8
2013,BEJA,406,,,,,460,116,2247,2824,280,94,12,12,1,7,0,0,2,133,30,1,170,70,0
2013,BRAGA,2299,,,,,4083,7939,58,12080,1631,506,51,56,26,29,0,0,1,439,514,317,405,623,7
2013,BRAGANÇA,505,,,,,5106,17986,1205,24297,300,154,11,15,8,12,3,2,9,211,59,21,104,101,6
